step,agent_id,x,y,elevation
0,0,56.0155,116.029,1354
0,1,56.0325,11.4854,145
0,2,56.0538,11.4586,145
0,3,56.0333,22.2252,911
0,4,56.0698,32.9427,1756
0,5,56.0337,32.8724,1756
0,6,56.0775,43.5864,865
0,7,55.8134,89.5309,1603
0,8,55.7835,89.4685,1603
0,9,55.8405,100.244,1434
0,10,55.7969,110.915,1593
0,11,55.7406,110.899,1593
0,12,55.7673,121.624,1469
0,13,55.8743,121.592,1469
0,14,55.8979,6.35198,523
0,15,55.9012,6.39165,523
0,16,55.7632,17.0749,250
0,17,55.886,17.0747,250
0,18,55.7651,27.7728,1187
0,19,55.8281,27.7293,1187
0,20,55.7552,38.4925,1410
0,21,55.8191,38.5282,1410
0,22,55.8612,49.2515,1389
0,23,55.7977,49.2206,1389
0,24,55.8437,59.8962,1140
0,25,55.8526,59.9302,1140
0,26,55.8604,70.5901,790
0,27,55.9331,70.6688,790
0,28,55.786,81.3528,1141
0,29,55.9329,81.3048,1141
0,30,55.9071,92.0848,1478
0,31,55.8187,92.0113,1478
0,32,55.881,102.765,1413
0,33,55.9256,102.796,1413
0,34,55.9372,113.493,1450
0,35,55.8119,113.489,1450
0,36,55.9754,124.223,1505
0,37,55.8173,124.223,1505
0,38,55.7318,44.0387,930
0,39,55.6943,44.0888,930
0,40,55.6104,54.7875,1391
0,41,55.7211,54.7752,1391
0,42,55.6631,65.4966,395
0,43,55.6565,65.4941,395
0,44,55.7218,65.448,395
0,45,55.6391,76.1729,805
0,46,55.7244,76.159,805
0,47,55.6066,86.9021,1378
0,48,55.7359,86.9407,1378
0,49,55.6322,97.6292,1467
0,50,55.7482,97.5878,1467
0,51,55.7216,108.396,1822
0,52,55.625,108.348,1822
0,53,55.6804,119.079,1404
0,54,55.8107,119.01,1404
0,55,55.8107,3.77898,715
0,56,55.7751,3.80328,715
0,57,55.7936,14.4662,145
0,58,55.6965,14.523,145
0,59,55.6535,25.1719,877
0,60,55.8244,25.1836,877
0,61,55.8403,35.9217,1860
0,62,55.6864,35.9581,1860
0,63,55.7711,35.9138,1860
0,64,55.8496,46.6339,1180
0,65,55.7099,46.6289,1180
0,66,55.7287,57.3538,1087
0,67,55.8449,57.3544,1087
0,68,55.6699,68.0868,423
0,69,55.6827,68.0154,423
0,70,55.6829,78.7565,1005
0,71,55.8415,78.7867,1005
0,72,56.4183,110.02,1588
0,73,56.4326,110.058,1588
0,74,56.4639,120.743,1564
0,75,56.3915,120.784,1564
0,76,56.4269,5.42926,568
0,77,56.5595,5.4168,568
0,78,56.5882,16.1473,198
0,79,56.5119,16.2232,198
0,80,56.5486,26.9097,1124
0,81,56.5349,26.8716,1124
0,82,56.5796,37.6104,1564
0,83,56.5899,37.5829,1564
0,84,56.5086,37.6463,1564
0,85,56.5938,48.3328,1424
0,86,56.4865,48.3078,1424
0,87,56.5766,59.0791,983
0,88,56.5154,59.0079,983
0,89,56.5237,69.7366,635
0,90,56.5493,69.759,635
0,91,56.6187,80.443,1060
0,92,56.5979,91.198,1343
0,93,56.5264,91.1918,1343
0,94,56.5457,101.918,1434
0,95,56.5067,112.656,1499
0,96,56.5762,112.638,1499
0,97,56.4855,123.287,1449
0,98,56.5734,8.06426,359
0,99,56.5633,8.08373,359
1,0,57.0432,115.965,1522
1,1,57.0357,11.5322,145
1,2,57.1191,11.3994,145
1,3,57.1442,22.2186,997
1,4,57.1469,32.9357,1821
1,5,57.0624,32.8639,1821
1,6,57.1282,43.5847,875
1,7,56.9033,89.6097,1586
1,8,56.7899,89.494,1586
1,9,56.8158,100.313,1549
1,10,56.738,110.959,1588
1,11,56.6271,110.847,1588
1,12,56.6561,121.649,1508
1,13,56.8793,121.531,1508
1,14,56.9265,6.3649,488
1,15,56.9163,6.46059,488
1,16,56.7416,17.127,345
1,17,56.8853,17.0434,345
1,18,56.6763,27.7796,1217
1,19,56.7513,27.7159,1217
1,20,56.7641,38.5116,1469
1,21,56.8365,38.5452,1469
1,22,56.812,49.2542,1467
1,23,56.7413,49.2132,1467
1,24,56.7383,59.847,983
1,25,56.8147,59.9818,983
1,26,56.8115,70.5711,851
1,27,57.041,70.7006,842
1,28,56.7404,81.4033,1083
1,29,57.0923,81.2756,1105
1,30,56.9443,92.0607,1419
1,31,56.77,91.9262,1343
1,32,56.9747,102.721,1413
1,33,57.0453,102.808,1517
1,34,56.97,113.529,1482
1,35,56.7137,113.469,1482
1,36,57.0117,124.274,1681
1,37,56.7441,124.259,1616
1,38,56.7808,44.0266,981
1,39,56.7237,44.0729,981
1,40,56.5223,54.7773,1368
1,41,56.8601,54.7811,1368
1,42,56.5692,65.4681,379
1,43,56.678,65.5016,379
1,44,56.7374,65.3696,379
1,45,56.5026,76.1257,737
1,46,56.7569,76.1111,737
1,47,56.5128,86.9172,1504
1,48,56.8479,86.9686,1504
1,49,56.4703,97.6417,1503
1,50,56.7462,97.5275,1503
1,51,56.6659,108.417,1798
1,52,56.5694,108.366,1798
1,53,56.7265,119.133,1476
1,54,56.8462,119.004,1476
1,55,56.8481,3.77392,662
1,56,56.8219,3.88097,662
1,57,56.7671,14.3969,145
1,58,56.7403,14.6105,145
1,59,56.4841,25.1216,996
1,60,56.8687,25.1799,996
1,61,56.8701,35.9122,1981
1,62,56.6365,36.0397,1723
1,63,56.8454,35.9283,1981
1,64,56.9686,46.6025,1206
1,65,56.6758,46.628,1206
1,66,56.7479,57.3867,1083
1,67,56.9571,57.3212,1083
1,68,56.4845,68.1317,466
1,69,56.6009,67.9257,367
1,70,56.6633,78.7218,982
1,71,56.947,78.8196,982
1,72,57.3034,109.985,1644
1,73,57.3541,110.106,1581
1,74,57.4448,120.717,1683
1,75,57.3063,120.838,1683
1,76,57.4169,5.3597,492
1,77,57.7088,5.39933,492
1,78,57.6565,16.1272,204
1,79,57.5046,16.3002,204
1,80,57.5049,26.8806,1195
1,81,57.5603,26.8737,1195
1,82,57.5765,37.6115,1592
1,83,57.762,37.5876,1592
1,84,57.4139,37.7135,1592
1,85,57.7121,48.3319,1453
1,86,57.497,48.2866,1453
1,87,57.5362,59.0815,903
1,88,57.4717,59.0002,903
1,89,57.4122,69.7183,645
1,90,57.6298,69.759,645
1,91,57.7893,80.4392,997
1,92,57.5551,91.1962,1329
1,93,57.4608,91.2284,1329
1,94,57.611,101.962,1565
1,95,57.3737,112.686,1578
1,96,57.5116,112.659,1578
1,97,57.4196,123.226,1557
1,98,57.5518,8.08729,281
1,99,57.5,8.14896,281
2,0,58.1244,115.849,1527
2,1,58.0424,11.58,138
2,2,58.2291,11.3024,138
2,3,58.2541,22.1979,1053
2,4,58.1374,32.8806,1881
2,5,58.0912,32.8272,1881
2,6,58.2122,43.5437,875
2,7,57.9973,89.6794,1412
2,8,57.8373,89.4716,1412
2,9,57.749,100.4,1767
2,10,57.7286,111,1581
2,11,57.4489,110.812,1581
2,12,57.5064,121.691,1574
2,13,57.9788,121.421,1574
2,14,57.9994,6.39515,451
2,15,57.9179,6.50213,451
2,16,57.7783,17.2,415
2,17,57.7979,17.0091,415
2,18,57.5086,27.8251,1281
2,19,57.6157,27.7379,1281
2,20,57.6995,38.5163,1527
2,21,57.9059,38.5283,1527
2,22,57.6859,49.2879,1532
2,23,57.6049,49.2221,1532
2,24,57.6241,59.8225,903
2,25,57.7102,60.0185,994
2,26,57.7713,70.5637,842
2,27,58.1273,70.687,854
2,28,57.6282,81.413,1105
2,29,58.2922,81.2241,1115
2,30,57.9103,92.0098,1454
2,31,57.689,91.8666,1329
2,32,58.1214,102.625,1686
2,33,58.0973,102.8,1686
2,34,58.0505,113.597,1598
2,35,57.6419,113.45,1544
2,36,58.0603,124.321,1719
2,37,57.7223,124.3,1681
2,38,57.9136,43.9631,875
2,39,57.6835,44.1037,1012
2,40,57.4805,54.7932,1343
2,41,58.0739,54.7416,1396
2,42,57.4605,65.4605,374
2,43,57.704,65.5283,374
2,44,57.8309,65.2313,374
2,45,57.3054,76.0529,762
2,46,57.8587,76.0738,762
2,47,57.3712,86.9382,1506
2,48,57.8939,87.0154,1515
2,49,57.3099,97.6319,1544
2,50,57.6845,97.4678,1544
2,51,57.5571,108.435,1712
2,52,57.5399,108.421,1712
2,53,57.8346,119.202,1472
2,54,57.8808,119.002,1472
2,55,57.8662,3.81077,595
2,56,57.9556,3.99411,595
2,57,57.6939,14.3715,152
2,58,57.807,14.6948,152
2,59,57.3056,25.045,1105
2,60,57.8512,25.1412,1105
2,61,57.8765,35.9381,1980
2,62,57.5084,36.1108,1749
2,63,57.9017,35.9288,1980
2,64,58.1402,46.5997,1253
2,65,57.6371,46.6672,1236
2,66,57.8105,57.4395,1156
2,67,58.0963,57.2904,1170
2,68,57.2152,68.1855,506
2,69,57.4986,67.8518,429
2,70,57.6336,78.7145,951
2,71,57.954,78.854,951
2,72,58.1131,109.99,1613
2,73,58.2666,110.117,1608
2,74,58.3954,120.699,1690
2,75,58.1301,120.909,1690
2,76,58.4289,5.25601,416
2,77,58.8216,5.41908,416
2,78,58.782,16.0581,375
2,79,58.4563,16.3777,375
2,80,58.5265,26.854,1272
2,81,58.6289,26.9036,1272
2,82,58.6534,37.5667,1598
2,83,59.0271,37.5331,1677
2,84,58.2374,37.772,1598
2,85,58.8434,48.3236,1463
2,86,58.5552,48.2591,1463
2,87,58.4005,59.1166,877
2,88,58.3538,58.968,1068
2,89,58.3354,69.7122,662
2,90,58.7436,69.7874,662
2,91,58.9708,80.4213,1013
2,92,58.4668,91.1619,1339
2,93,58.4831,91.2426,1339
2,94,58.5992,102.034,1686
2,95,58.3206,112.737,1666
2,96,58.5317,112.668,1666
2,97,58.4361,123.167,1525
2,98,58.4671,8.11649,179
2,99,58.406,8.24124,179
3,0,59.2173,115.771,1685
3,1,59.1235,11.6338,145
3,2,59.2595,11.2435,145
3,3,59.3235,22.1307,1067
3,4,59.0807,32.8239,1934
3,5,59.0499,32.7954,1934
3,6,59.3828,43.552,893
3,7,59.115,89.7281,1192
3,8,58.811,89.4496,1355
3,9,58.7077,100.449,1789
3,10,58.6374,111.004,1695
3,11,58.3106,110.737,1608
3,12,58.4332,121.771,1719
3,13,59.1167,121.36,1828
3,14,59.1494,6.42707,297
3,15,58.9281,6.51463,401
3,16,58.9025,17.2958,397
3,17,58.7447,16.9434,375
3,18,58.3952,27.8543,1354
3,19,58.5136,27.777,1354
3,20,58.5706,38.5308,1562
3,21,59.0398,38.5116,1614
3,22,58.6573,49.3354,1573
3,23,58.4012,49.2678,1573
3,24,58.5818,59.7747,877
3,25,58.6417,60.0351,787
3,26,58.6869,70.5603,854
3,27,59.2327,70.7153,839
3,28,58.5374,81.383,1115
3,29,59.5173,81.2026,1080
3,30,58.8152,91.9433,1339
3,31,58.5656,91.7925,1339
3,32,59.3411,102.465,1686
3,33,59.22,102.839,1686
3,34,59.2056,113.615,1657
3,35,58.574,113.397,1598
3,36,59.0758,124.415,1758
3,37,58.728,124.364,1719
3,38,59.0134,43.9403,893
3,39,58.7274,44.1312,973
3,40,58.5262,54.8356,1396
3,41,59.2664,54.643,1468
3,42,58.3779,65.4577,390
3,43,58.6477,65.567,390
3,44,58.8517,65.0817,390
3,45,58.0182,75.9932,969
3,46,59.0515,76.036,923
3,47,58.1305,86.9552,1389
3,48,58.8979,87.0879,1363
3,49,58.2394,97.6113,1673
3,50,58.6211,97.4111,1673
3,51,58.5229,108.47,1580
3,52,58.5836,108.449,1580
3,53,58.9575,119.267,1452
3,54,58.8686,118.988,1321
3,55,58.9813,3.82232,544
3,56,59.0595,4.13518,448
3,57,58.5957,14.3037,209
3,58,58.833,14.7278,209
3,59,58.1372,24.94,1269
3,60,58.841,25.1185,1272
3,61,58.8587,35.9183,1815
3,62,58.4454,36.1836,1739
3,63,58.9206,35.8923,1815
3,64,59.3203,46.6352,1259
3,65,58.682,46.7214,1253
3,66,58.7843,57.4583,1170
3,67,59.1931,57.2065,1177
3,68,58.0194,68.2319,544
3,69,58.4748,67.8021,456
3,70,58.6881,78.6668,913
3,71,58.9876,78.9403,913
3,72,58.8711,110.007,1608
3,73,59.2359,110.098,1634
3,74,59.3147,120.668,1647
3,75,58.9303,120.976,1690
3,76,59.4842,5.19989,373
3,77,60.0173,5.4906,371
3,78,59.8543,16.0086,489
3,79,59.3499,16.4343,489
3,80,59.565,26.7777,1373
3,81,59.6788,26.9551,1373
3,82,59.784,37.4773,1677
3,83,60.3323,37.5095,1780
3,84,59.0859,37.8551,1677
3,85,59.9898,48.3073,1471
3,86,59.6156,48.2466,1471
3,87,59.1781,59.1603,936
3,88,59.1699,58.9084,1077
3,89,59.2328,69.6877,688
3,90,59.882,69.8574,688
3,91,60.0531,80.4572,949
3,92,59.3625,91.1105,1329
3,93,59.507,91.2575,1329
3,94,59.671,102.13,1686
3,95,59.1717,112.796,1834
3,96,59.4897,112.708,1834
3,97,59.3846,123.117,1684
3,98,59.3346,8.1039,180
3,99,59.3053,8.32137,180
4,0,60.2777,115.652,1705
4,1,60.1448,11.6338,150
4,2,60.3786,11.1524,150
4,3,60.3225,22.0563,1061
